county_fips,shallow_soil_class,k_dry_wmpk,k_wmpk,k_sat_wmpk
12085,coarse_sand,0.3038,2.0198,2.147
12089,medium_fine_sand,0.2169,1.7723,1.9184
12091,medium_fine_sand,0.2389,1.8427,1.9933
12093,coarse_sand,0.3063,2.0428,2.1714
12095,coarse_sand,0.307,2.0291,2.1567
12097,coarse_sand,0.3069,2.0295,2.1571
12101,coarse_sand,0.3022,1.9657,2.0889
12103,coarse_sand,0.288,1.9805,2.1059
12105,coarse_sand,0.296,1.9812,2.106
12107,coarse_sand,0.2994,1.9809,2.1054
12109,coarse_sand,0.2854,1.939,2.0615
12111,coarse_sand,0.3025,1.9973,2.1228
12113,medium_fine_sand,0.2389,1.8008,1.9474
12115,coarse_sand,0.3146,2.0506,2.1792
12117,coarse_sand,0.2982,2.0139,2.141
12119,coarse_sand,0.3014,1.9649,2.0881
12121,coarse_sand,0.2856,1.8921,2.0111
12123,coarse_sand,0.2777,1.9212,2.043
12125,medium_fine_sand,0.2176,1.7269,1.8687
12127,coarse_sand,0.2963,2.0068,2.1335
12129,coarse_sand,0.2836,1.9223,2.0437
12131,medium_fine_sand,0.235,1.7965,1.9431
12133,medium_fine_sand,0.2326,1.7831,1.9287
12606,coarse_sand,0.2788,1.8885,2.0078
12607,coarse_sand,0.2942,1.9331,2.0545
12608,medium_fine_sand,0.2314,1.779,1.9243
12609,coarse_sand,0.3042,2.0366,2.1649
12611,coarse_sand,0.3074,2.0369,2.165
12615,medium_fine_sand,0.2244,1.5999,1.7291
12616,coarse_sand,0.2947,1.9928,2.1186
12618,medium_fine_sand,0.2301,1.8403,1.9915
12621,coarse_sand,0.3149,2.04,2.1678
12622,medium_fine_sand,0.2286,1.6694,1.8047
12623,medium_fine_sand,0.2126,1.4582,1.5752
12624,silt_clay,0.2091,1.2336,1.4133
12686,medium_fine_sand,0.2188,1.5061,1.627
12687,silt_clay,0.2012,1.156,1.3235
13015,silt_clay,0.2245,1.3087,1.4989
13021,medium_fine_sand,0.2204,1.4949,1.6145
13031,medium_fine_sand,0.2397,1.7286,1.8684
13033,medium_fine_sand,0.2396,1.6927,1.8292
13035,medium_fine_sand,0.2282,1.5535,1.6779
13047,silt_clay,0.213,1.1753,1.3441
13067,silt_clay,0.211,1.3196,1.5141
13087,medium_fine_sand,0.2412,1.73,1.8698
13089,medium_fine_sand,0.2117,1.4402,1.5556
13095,medium_fine_sand,0.2369,1.6423,1.7743
13097,silt_clay,0.213,1.3244,1.5194
13103,medium_fine_sand,0.2234,1.7135,1.8535
13107,medium_fine_sand,0.2431,1.741,1.8817
13117,medium_fine_sand,0.2065,1.4211,1.5351
13121,medium_fine_sand,0.2201,1.5412,1.6652
13129,silt_clay,0.2126,1.207,1.3815
13131,medium_fine_sand,0.2427,1.748,1.8893
13133,medium_fine_sand,0.2205,1.4725,1.5901
13135,medium_fine_sand,0.2149,1.453,1.5692
13137,silt_clay,0.2085,1.3321,1.5292
13147,medium_fine_sand,0.2094,1.4284,1.5429
13159,medium_fine_sand,0.2084,1.4192,1.5328
13165,medium_fine_sand,0.2423,1.7169,1.8553
13185,medium_fine_sand,0.2366,1.7457,1.8875
13191,medium_fine_sand,0.2294,1.6784,1.8144
13199,silt_clay,0.2129,1.3452,1.5438
13207,medium_fine_sand,0.2248,1.5219,1.6437
13211,silt_clay,0.2136,1.3441,1.5424
13215,medium_fine_sand,0.2255,1.5607,1.6861
13221,silt_clay,0.2073,1.3135,1.5076
13223,medium_fine_sand,0.2301,1.5444,1.6678
13229,medium_fine_sand,0.2359,1.7336,1.8742
13243,medium_fine_sand,0.2405,1.6849,1.8205
13245,medium_fine_sand,0.2196,1.5265,1.6492
13251,medium_fine_sand,0.2296,1.697,1.8348
13255,silt_clay,0.2141,1.3481,1.5471
13259,medium_fine_sand,0.2367,1.6673,1.8016
13277,medium_fine_sand,0.242,1.7475,1.8889
13283,medium_fine_sand,0.2353,1.6312,1.7623
13289,medium_fine_sand,0.2365,1.6255,1.756
13297,medium_fine_sand,0.2101,1.4265,1.5407
13299,medium_fine_sand,0.218,1.6952,1.8339
13305,medium_fine_sand,0.2318,1.6771,1.8128
13307,medium_fine_sand,0.24,1.6946,1.8312
13321,medium_fine_sand,0.2413,1.7249,1.8642
13601,medium_fine_sand,0.2316,1.6687,1.8036
13602,medium_fine_sand,0.229,1.659,1.7933
13603,medium_fine_sand,0.24,1.6924,1.8288
13604,medium_fine_sand,0.222,1.4948,1.6143
13605,silt_clay,0.2091,1.3248,1.5205
13606,silt_clay,0.2171,1.3369,1.5334
13608,medium_fine_sand,0.2416,1.7179,1.8565
13609,medium_fine_sand,0.2315,1.6843,1.8207
13610,medium_fine_sand,0.2404,1.7009,1.838
13611,medium_fine_sand,0.2205,1.7093,1.849
13612,medium_fine_sand,0.2404,1.7242,1.8635
13613,medium_fine_sand,0.2233,1.6429,1.7762
13615,medium_fine_sand,0.2367,1.6475,1.78
13616,medium_fine_sand,0.2222,1.634,1.7665
