Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/03  17:00:00,166.301222128,6.996125334,0.0,0.0,80.527626,73.092045,174.193557755,165.229242127,3.20568,5.75863562795
 01/03  18:00:00,128.748708612,6.996125334,0.0,0.0,80.527626,29.818365,199.079254242,192.984648299,3.20568,2.88892594283
 01/03  19:00:00,128.763593259,6.996125334,0.0,0.0,80.527626,29.818365,231.188726039,222.20885221,3.20568,5.77419382888
 01/03  20:00:00,128.783602616,6.996125334,0.0,0.0,80.527626,29.818365,257.132333269,245.260695723,3.20568,8.66595754575
 01/03  21:00:00,128.808647546,6.996125334,0.0,0.0,80.527626,29.818365,288.243944504,276.379663083,3.20568,8.6586014213
 01/03  22:00:00,55.2790691434,0.0,0.0,0.0,15.863942322,29.242365,8.98553291347,0.0,3.20568,5.77985291347
 01/03  23:00:00,55.3297754502,0.0,0.0,0.0,15.863942322,29.242365,8.96748308522,0.0,3.20568,5.76180308522
 01/03  24:00:00,56.4048593751,0.272609776328,0.0,0.0,15.863942322,29.242365,6.32174206343,0.227618065864,3.20568,2.88844399756
 01/04  01:00:00,56.7327838974,1.36304888164,0.0,0.0,15.863942322,29.242365,7.64151678766,1.55113218237,3.20568,2.8847046053
 01/04  02:00:00,56.7720950157,1.40023434621,0.0,0.0,15.863942322,29.242365,12.6863895047,9.46070950473,3.20568,0.02
 01/04  03:00:00,59.118000014,3.73442545827,0.0,0.0,15.863942322,29.242365,58.8397132027,52.7491373547,3.20568,2.88489584803
 01/04  04:00:00,58.7425873733,3.34066044376,0.0,0.0,15.863942322,29.242365,57.7421998252,54.5165198252,3.20568,0.02
 01/04  05:00:00,59.8011466779,4.1758255547,0.0,0.0,15.863942322,29.242365,78.5509913656,72.4603821295,3.20568,2.8849292361
 01/04  06:00:00,58.9708334706,3.34066044376,0.0,0.0,15.863942322,29.242365,84.271012735,78.1804195521,3.20568,2.88491318295
 01/04  07:00:00,65.5077593798,6.996125334,0.0,0.0,15.863942322,29.818365,638.407357893,635.181677893,3.20568,0.02
 01/04  08:00:00,124.44170359,6.996125334,0.0,0.0,80.527626,29.818365,494.396139868,485.432153702,3.20568,5.75830616588
 01/04  09:00:00,165.76691236,6.996125334,0.00291017026289,0.0,80.527626,75.0917375,359.40939325,323.785750591,24.0426,11.5810426587
