Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/20  22:00:00,328.139028743,36.8377946555,92.7429846391,0.0,87.0357390804,65.871452062,402.408725553,11.3234891774,16.6606,374.424636375
 05/20  23:00:00,256.570763049,36.7513014861,95.0506812597,0.0,42.6918050922,48.4199368926,246.806751097,16.3710544135,8.3303,222.105396683
 05/20  24:00:00,191.283295215,33.1418356908,73.934905247,0.0,27.7269238854,30.610668775,135.149113122,6.36372279213,3.33212,125.45327033
 05/21  01:00:00,205.24870839,33.8578270511,77.9956191547,0.0,34.4311606118,33.1021868926,110.78751911,13.0231056216,3.33212,94.4322934882
 05/21  02:00:00,172.07797595,31.17285945,65.2988156229,0.0,19.466279405,30.610668775,120.018548059,15.9862902271,3.33212,100.700137832
 05/21  03:00:00,192.717180293,33.8578270511,82.9804598241,0.0,19.466279405,30.610668775,115.673319002,17.9304884482,3.33212,94.4107105535
 05/21  04:00:00,172.944975553,31.17285945,59.6033022865,0.0,19.466279405,30.610668775,147.598480254,14.2817297891,3.33212,129.984630465
 05/21  05:00:00,197.576303656,33.8578270511,74.6380960554,0.0,19.466279405,30.610668775,178.147046852,14.8463606633,8.3303,154.970386189
 05/21  06:00:00,270.76482233,35.4688076117,85.340635818,0.0,42.6918050922,54.3732441037,262.651496244,20.5941739769,16.6606,225.396722267
 05/21  07:00:00,334.798383702,37.1833263245,93.6519704545,0.0,49.3960418185,88.5934452969,424.124580142,16.5851484411,24.9909,382.548531701
 05/21  08:00:00,364.356245927,36.8845391378,90.6692506081,0.0,57.6566862989,112.030105488,574.076449604,5.45212126448,33.3212,535.30312834
 05/21  09:00:00,309.2588519,37.4648537396,90.2294051046,0.0,50.9524495726,81.1684271793,457.085780801,2.38309496325,66.8089,387.893785838
 05/21  10:00:00,266.244208505,37.8987944011,91.3513975166,0.0,42.6918050922,68.9656133826,380.282807051,3.51901727967,83.4695,293.294289771
 05/21  11:00:00,262.592045591,37.7909076819,91.555776927,0.0,38.286128036,68.9656133826,322.441002825,4.0097493464,83.4695,234.961753478
 05/21  12:00:00,263.04173919,37.880060376,92.8552628756,0.0,38.286128036,68.9656133826,257.764708437,3.84132633438,83.4695,170.453882103
 05/21  13:00:00,242.352845321,37.6920471508,92.1126573713,0.0,31.5818913096,56.727595265,250.619397168,5.03772723891,75.1392,170.442469929
 05/21  14:00:00,242.179775219,37.6624499686,91.8969326878,0.0,31.5818913096,56.727595265,235.089675722,5.14121916521,66.8089,163.139556557
 05/21  15:00:00,242.221708164,37.705338403,91.988081659,0.0,31.5818913096,56.727595265,250.573129576,5.50277355515,75.1392,169.931156021
 05/21  16:00:00,271.678363273,37.6268966856,92.4244453189,0.0,31.5818913096,61.661095265,227.74415905,5.65401917669,91.7998,130.290339873
 05/21  17:00:00,298.315733046,37.024054751,91.5883486783,0.0,31.5818913096,70.9729253606,222.247289022,10.1431958242,49.9818,162.122293198
 05/21  18:00:00,361.456818985,37.0711368669,93.8355465657,0.0,80.3315023541,83.7685254822,254.864698867,8.47284773528,49.9818,196.410051131
 05/21  19:00:00,362.12385051,37.0517368976,89.9270752817,0.0,102.000620287,77.6748002752,296.679189202,6.76121820671,33.3212,256.596770995
 05/21  20:00:00,400.867684836,36.9759273733,91.2339701147,0.0,108.704857014,91.4735406516,288.814255762,7.26491826701,33.3212,248.228137495
 05/21  21:00:00,372.427884765,37.1296627683,91.3763463888,0.0,95.2963835608,89.1510273009,289.39839465,7.8256994896,24.9909,256.58179516
 05/21  22:00:00,319.614645161,37.0164186357,92.112965417,0.0,80.3315023541,63.3799339444,405.084358742,11.5597176904,16.6606,376.864041052
 05/21  23:00:00,257.548891628,36.9333978325,94.984582459,0.0,42.6918050922,48.4199368926,244.507376843,16.617162106,8.3303,219.559914737
 05/21  24:00:00,197.300057192,33.8578270511,69.2578551816,0.0,34.4311606118,33.1021868926,128.106936194,1.12709942054,3.33212,123.647716773
 05/22  01:00:00,176.438890384,33.8578270511,67.1642319016,0.0,19.418418834,29.3649097162,104.372104112,0.494031203603,3.33212,100.545952909
 05/22  02:00:00,169.021168504,33.8578270511,68.1543216495,0.0,12.7620426787,28.1191506574,108.841681204,11.2592923669,3.33212,94.2502688373
 05/22  03:00:00,167.898051682,33.8578270511,67.3409314742,0.0,12.7620426787,28.1191506574,120.609846343,23.0172765195,3.33212,94.2604498239
 05/22  04:00:00,157.60503928,33.4103324509,51.3313744717,0.0,12.7620426787,28.1191506574,166.344677817,39.5853018773,3.33212,123.42725594
 05/22  05:00:00,203.383609658,33.2611675842,75.1751835341,0.0,25.5240853573,30.610668775,265.729758384,36.9730494619,8.3303,220.426408922
 05/22  06:00:00,305.96904561,35.4688076117,88.0784128738,0.0,51.0481707146,78.1489452969,411.207351223,17.7812197071,16.6606,376.765531515
 05/22  07:00:00,368.403141827,36.7683278798,90.962637609,0.0,64.3609230253,109.708623606,536.907352587,12.6840674115,24.9909,499.232385176
 05/22  08:00:00,328.171805767,36.7415974508,92.62158121,0.0,51.0481707146,80.7689615957,426.421279929,5.83618890539,33.3212,387.263891023
 05/22  09:00:00,301.169797251,37.2834303274,93.0050290325,0.0,51.0481707146,71.0224615957,361.808093813,2.53165520941,66.8089,292.467538604
 05/22  10:00:00,253.591806559,37.4871945291,94.3946877531,0.0,32.1804615127,65.7244621605,315.748390713,5.57397529501,83.4695,226.704915418
 05/22  11:00:00,254.720801563,37.5895375841,94.6190468922,0.0,32.1804615127,65.7244621605,260.475632143,6.40188445775,83.4695,170.604247686
 05/22  12:00:00,253.876256546,37.6592591584,93.7016883146,0.0,32.1804615127,65.7244621605,260.083975811,6.27122802448,83.4695,170.343247786
 05/22  13:00:00,244.553969854,37.5635880789,93.6640131231,0.0,32.1804615127,55.9779621605,251.212787299,5.97891158168,75.1392,170.094675718
 05/22  14:00:00,244.346539122,37.5795973186,93.3988891379,0.0,32.1804615127,55.9779621605,242.247517209,5.73952569831,66.8089,169.699091511
 05/22  15:00:00,244.575051809,37.6224656955,94.3510339646,0.0,32.1804615127,55.9779621605,244.05287351,5.7125802556,75.1392,163.201093254
 05/22  16:00:00,272.378064077,37.7002332672,92.2972151647,0.0,32.1804615127,60.9114621605,225.250864323,3.21517619092,91.7998,130.235888132
 05/22  17:00:00,307.851548752,37.0243929088,93.9647467093,0.0,32.1804615127,77.5397301883,247.268491855,7.00891451717,49.9818,190.277777338
 05/22  18:00:00,359.698376858,37.090989647,92.465562764,0.0,77.122965704,86.2600435998,405.857184688,8.61128435873,49.9818,347.264100329
 05/22  19:00:00,368.946926394,37.0249228732,95.7538775227,0.0,102.647051061,80.1663183927,314.926782872,24.4745532065,33.3212,257.131029665
 05/22  20:00:00,410.042126225,36.9658015092,95.0136132494,0.0,115.40909374,92.7192997104,319.415728367,29.7684121649,33.3212,256.326116202
 05/22  21:00:00,385.273146701,37.0473242855,93.8256173504,0.0,102.647051061,94.1340635361,436.218683072,33.0206317333,24.9909,378.207151338
 05/22  22:00:00,319.633187518,37.0717058403,94.79191281,0.0,77.122965704,65.871452062,333.680232859,31.6076286532,16.6606,285.412004206
 05/22  23:00:00,253.563048828,36.9766392592,97.0392770537,0.0,38.286128036,48.4199368926,198.293754556,35.3378478091,8.3303,154.625606747
 05/22  24:00:00,181.744787602,33.4103324509,66.6717865866,0.0,25.5240853573,30.610668775,166.458398028,33.2103839501,3.33212,129.915894077
 05/23  01:00:00,173.831152965,32.0678486503,67.4819370269,0.0,19.418418834,29.3649097162,131.635574951,34.0691600726,3.33212,94.2342948788
 05/23  02:00:00,162.699585218,32.9628378507,63.4825428094,0.0,12.7620426787,28.1191506574,133.207711617,35.6349692098,3.33212,94.2406224074
 05/23  03:00:00,162.152742414,33.8578270511,62.0808468473,0.0,12.7620426787,28.1191506574,138.0104417,40.4409958162,3.33212,94.2373258843
 05/23  04:00:00,171.850534319,33.8578270511,64.5477955814,0.0,12.7620426787,28.1191506574,162.31338353,35.6073607166,3.33212,123.373902814
 05/23  05:00:00,203.960104891,33.8578270511,74.6088548514,0.0,25.5240853573,30.610668775,260.142997817,29.8463944049,8.3303,221.966303412
 05/23  06:00:00,312.792881535,34.9318140915,95.5081005547,0.0,51.0481707146,78.1489452969,415.514092356,24.8966019539,16.6606,373.956890403
 05/23  07:00:00,368.904613376,36.6740500436,92.2268652715,0.0,64.3609230253,109.708623606,547.001019091,24.2322141484,24.9909,497.777904943
 05/23  08:00:00,328.607881286,36.603808485,94.504930799,0.0,51.0481707146,80.7689615957,436.987046454,17.0856567294,33.3212,386.580189724
