Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 09/18  13:00:00,1243.20423408,106.869629859,330.856536196,0.0,243.2593065,302.612436532,289.558422651,188.375575274,56.6466996096,44.5361477671
 09/18  14:00:00,1258.2055467,108.642246836,322.033771512,0.0,243.2593065,302.612436532,252.416672397,174.376546519,42.4850247072,35.55510117
 09/18  15:00:00,1261.29758311,111.546702031,314.089185318,0.0,243.2593065,302.612436532,241.435810132,149.296354882,56.6466996096,35.4927556406
 09/18  16:00:00,1267.1947072,114.250332472,309.37161801,0.0,243.2593065,310.10971186,248.968656671,137.496417817,84.9700494144,26.5021894402
 09/18  17:00:00,1273.31518024,115.946833511,309.113698157,0.0,243.2593065,310.10971186,244.154030912,141.686835932,84.9700494144,17.4971455648
 09/18  18:00:00,1022.22017611,98.107680265,338.932664956,0.0,166.938926447,199.110933808,274.693093117,172.280554371,84.9700494144,17.4424893309
 09/18  19:00:00,1047.04257685,98.107680265,356.210798162,0.0,166.938926447,191.61365848,280.61669479,206.530487633,56.6466996096,17.439507547
 09/18  20:00:00,878.809198711,98.107680265,371.615557733,0.0,100.150657288,124.558693486,330.397673829,256.308554255,56.6466996096,17.4424199653
 09/18  21:00:00,832.584145578,98.107680265,384.817707622,0.0,100.150657288,124.558693486,320.208276588,269.01316349,42.4850247072,8.71008839006
 09/18  22:00:00,771.685984456,98.107680265,391.532719024,0.0,46.0930336215,124.558693486,336.87453067,291.1555237,28.3233498048,17.3956571655
 09/18  23:00:00,795.984861732,98.107680265,416.399864827,0.0,46.0930336215,124.558693486,336.620398265,305.06427046,14.1616749024,17.3944529029
 09/18  24:00:00,785.681515806,98.107680265,419.693415393,0.0,46.0930336215,113.312780494,331.050219151,316.67813416,5.66466996096,8.70741503071
 09/19  01:00:00,780.172296415,98.107680265,414.64657402,0.0,46.0930336215,113.312780494,345.311238451,322.251016266,5.66466996096,17.3955522247
 09/19  02:00:00,776.225034239,98.107680265,411.426297864,0.0,46.0930336215,113.312780494,343.214624082,328.841918326,5.66466996096,8.70803579443
 09/19  03:00:00,774.17907174,98.107680265,407.423257124,0.0,46.0930336215,113.312780494,358.37402944,335.315459304,5.66466996096,17.3939001741
 09/19  04:00:00,874.124336633,98.107680265,402.557436239,0.0,100.150657288,148.969399434,333.718982283,319.345777398,5.66466996096,8.7085349238
 09/19  05:00:00,869.264845769,98.4642796554,397.863005974,0.0,100.150657288,149.894399434,477.609064917,446.050397379,14.1616749024,17.3969926354
 09/19  06:00:00,1082.31690309,101.049134091,399.206432809,0.0,176.471037341,302.612436532,356.082760422,319.053781475,28.3233498048,8.70562914275
 09/19  07:00:00,1202.97554385,103.243207203,406.44090599,0.0,243.2593065,310.10971186,349.11855365,280.321320406,42.4850247072,26.3122085373
