Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 07/18  08:00:00,644.32072134,75.8645520509,352.935820383,0.0,122.71106,84.617158233,41.5432397889,0.0,24.1713,17.3719397889
 07/18  09:00:00,681.110475154,77.2524581609,387.882482795,0.0,122.71106,84.617158233,24.1913,0.0,24.1713,0.02
 07/18  10:00:00,711.062309197,78.7254277918,411.677334767,0.0,122.71106,88.818015033,44.9100525642,0.0,36.25695,8.65310256415
 07/18  11:00:00,730.558099669,80.9466243412,427.409863712,0.0,122.71106,88.818015033,44.9092712878,0.0,36.25695,8.65232128784
 07/18  12:00:00,736.591844784,84.0387452244,430.328792252,0.0,122.71106,88.818015033,44.9093661264,0.0,36.25695,8.65241612642
 07/18  13:00:00,728.116038449,86.1071929942,423.470344434,0.0,122.71106,84.617158233,24.197614599,0.006314598971,24.1713,0.02
 07/18  14:00:00,745.02715828,88.1431932911,438.237034606,0.0,122.71106,84.617158233,32.8238122962,0.0,24.1713,8.6525122962
 07/18  15:00:00,733.318774759,89.2659157081,432.098787266,0.0,122.71106,78.0003075165,13.4868691038,0.0,4.83426,8.65260910382
 07/18  16:00:00,698.156133044,89.0599922531,403.242988688,0.0,122.71106,73.183824,4.85426,0.0,4.83426,0.02
 07/18  17:00:00,643.262966641,84.5518636446,387.225576175,0.0,122.71106,39.942024,13.4656725441,0.0,4.83426,8.63141254409
 07/18  18:00:00,541.185660898,72.3412696899,297.596696085,0.0,122.71106,39.942024,13.5677312071,0.0745891949109,4.83426,8.65888201217
 07/18  19:00:00,533.638193803,72.3412696899,290.246250499,0.0,122.71106,39.942024,13.51099968,0.0,4.83426,8.67673967997
 07/18  20:00:00,470.475919748,72.3412696899,291.924150914,0.0,43.513341876,39.942024,13.5019209392,0.0,4.83426,8.66766093915
 07/18  21:00:00,104.92297188,0.0,0.0,0.0,43.513341876,39.243024,13.5017096684,0.0,4.83426,8.66744966836
 07/18  22:00:00,104.94961207,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/18  23:00:00,105.824116826,0.0,0.0,0.0,43.513341876,39.243024,13.4627253806,0.0,4.83426,8.62846538055
 07/18  24:00:00,104.898209088,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/19  01:00:00,104.881246894,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/19  02:00:00,104.862529736,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/19  03:00:00,104.84189573,0.0,0.0,0.0,43.513341876,39.243024,13.4504959507,0.0,4.83426,8.61623595072
 07/19  04:00:00,105.326886762,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/19  05:00:00,102.301883733,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/19  06:00:00,358.145662125,72.3412696899,195.674017602,0.0,43.513341876,39.942024,4.8794447242,0.0251847242008,4.83426,0.02
 07/19  07:00:00,423.697918975,72.4215792104,260.736386651,0.0,43.513341876,39.942024,13.4656813785,0.0,4.83426,8.6314213785
 07/19  08:00:00,608.513774417,73.6144519981,319.468091314,0.0,122.71106,84.617158233,32.8670864233,0.0,24.1713,8.69578642327
 07/19  09:00:00,637.508800672,74.6557474899,347.213723478,0.0,122.71106,84.617158233,32.8241250796,0.0,24.1713,8.65282507962
 07/19  10:00:00,675.363882343,75.4882568746,379.775318079,0.0,122.71106,88.818015033,44.9098606348,0.0,36.25695,8.65291063482
 07/19  11:00:00,703.553790069,76.6579264075,405.66229934,0.0,122.71106,88.818015033,36.27695,0.0,36.25695,0.02
 07/19  12:00:00,723.802442021,78.7358081483,424.518564021,0.0,122.71106,88.818015033,44.9099459848,0.0,36.25695,8.65299598476
 07/19  13:00:00,734.741408718,81.5725639581,436.546184527,0.0,122.71106,84.617158233,32.8380585345,0.0145506845877,24.1713,8.65220784988
 07/19  14:00:00,731.348324048,84.2914766391,430.151222024,0.0,122.71106,84.617158233,32.8235926883,0.0,24.1713,8.65229268827
 07/19  15:00:00,699.123052392,85.3691927395,403.566790901,0.0,122.71106,78.0003075165,13.4866384131,0.0,4.83426,8.6523784131
 07/19  16:00:00,664.547140098,86.293547103,373.710475471,0.0,122.71106,73.183824,4.85426,0.0,4.83426,0.02
 07/19  17:00:00,632.240373739,82.5161879137,378.606885819,0.0,122.71106,39.942024,4.85426,0.0,4.83426,0.02
 07/19  18:00:00,564.681746096,72.3412696899,321.26677256,0.0,122.71106,39.942024,13.5586604711,0.067345020706,4.83426,8.6570554504
 07/19  19:00:00,530.383747841,72.3412696899,286.451749798,0.0,122.71106,39.942024,13.5457797021,0.0345108332534,4.83426,8.67700886887
 07/19  20:00:00,459.269103665,72.3412696899,280.118169005,0.0,43.513341876,39.942024,13.5082205064,0.00617779633378,4.83426,8.66778271007
 07/19  21:00:00,105.195791074,0.0,0.0,0.0,43.513341876,39.243024,13.50218868,0.0,4.83426,8.66792868001
 07/19  22:00:00,104.882512482,0.0,0.0,0.0,43.513341876,39.243024,13.4718865021,0.0,4.83426,8.63762650207
 07/19  23:00:00,105.818356392,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/19  24:00:00,104.926377081,0.0,0.0,0.0,43.513341876,39.243024,13.450609052,0.0,4.83426,8.61634905198
 07/20  01:00:00,104.913128238,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/20  02:00:00,104.90778672,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/20  03:00:00,104.862716139,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/20  04:00:00,105.305071271,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/20  05:00:00,102.244549737,0.0,0.0,0.0,43.513341876,39.243024,13.450717018,0.0,4.83426,8.616457018
 07/20  06:00:00,310.999169973,72.3412696899,149.015884879,0.0,43.513341876,39.942024,4.87712898536,0.0228689853585,4.83426,0.02
 07/20  07:00:00,413.558883201,72.3918679356,250.696363223,0.0,43.513341876,39.942024,4.85426,0.0,4.83426,0.02
 07/20  08:00:00,620.587611603,73.3718607222,332.020162015,0.0,122.71106,84.617158233,41.5423987799,0.0,24.1713,17.3710987799
 07/20  09:00:00,664.116973551,74.3900193809,373.998420309,0.0,122.71106,84.617158233,32.8237464545,0.0,24.1713,8.65244645447
 07/20  10:00:00,693.989340283,75.2358819901,398.645603644,0.0,122.71106,88.818015033,36.27695,0.0,36.25695,0.02
 07/20  11:00:00,720.534715413,76.6913193425,422.407981212,0.0,122.71106,88.818015033,44.9094707356,0.0,36.25695,8.65252073559
 07/20  12:00:00,723.278693261,78.7179781147,423.359283658,0.0,122.71106,88.818015033,44.9095453953,0.0,36.25695,8.65259539528
 07/20  13:00:00,722.917338954,80.7210273362,424.64078139,0.0,122.71106,84.617158233,32.8389770683,0.0150068178977,24.1713,8.65267025038
 07/20  14:00:00,725.884370893,83.5932778612,424.591789645,0.0,122.71106,84.617158233,24.1913,0.0,24.1713,0.02
 07/20  15:00:00,705.647491434,85.4590428375,409.404419234,0.0,122.71106,78.0003075165,13.4870377321,0.0,4.83426,8.65277773207
 07/20  16:00:00,619.528012722,82.9617884794,332.103883096,0.0,122.71106,73.183824,13.4703287894,0.00462878266377,4.83426,8.63144000673
 07/20  17:00:00,521.254458038,78.7340000325,271.156199045,0.0,122.71106,39.942024,4.85426,0.0,4.83426,0.02
 07/20  18:00:00,514.45440601,72.3412696899,270.39239145,0.0,122.71106,39.942024,13.4926094195,0.0,4.83426,8.6583494195
 07/20  19:00:00,524.334887321,72.3412696899,280.392237357,0.0,122.71106,39.942024,13.5106220198,0.0,4.83426,8.67636201984
 07/20  20:00:00,463.607748822,72.3412696899,284.675377582,0.0,43.513341876,39.942024,13.5016968748,0.0,4.83426,8.66743687482
 07/20  21:00:00,105.193879536,0.0,0.0,0.0,43.513341876,39.243024,13.501466148,0.0,4.83426,8.66720614804
 07/20  22:00:00,104.875881746,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/20  23:00:00,105.767626575,0.0,0.0,0.0,43.513341876,39.243024,13.462744288,0.0,4.83426,8.62848428803
 07/20  24:00:00,104.880834621,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/21  01:00:00,104.851599343,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/21  02:00:00,104.824809167,0.0,0.0,0.0,43.513341876,39.243024,13.4506482778,0.0,4.83426,8.61638827784
 07/21  03:00:00,104.819283829,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/21  04:00:00,107.260667651,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/21  05:00:00,103.91970513,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/21  06:00:00,339.810333364,72.3412696899,176.7371838,0.0,43.513341876,39.942024,13.4718093545,0.0213350676329,4.83426,8.61621428689
 07/21  07:00:00,393.099257636,72.3412696899,230.476154241,0.0,43.513341876,39.942024,4.85426,0.0,4.83426,0.02
 07/21  08:00:00,576.172098277,72.5831644568,288.788273303,0.0,122.71106,84.617158233,32.8670001151,0.0,24.1713,8.69570011506
 07/21  09:00:00,619.273107422,73.4086166338,330.512586408,0.0,122.71106,84.617158233,32.8240801125,0.0,24.1713,8.65278011246
 07/21  10:00:00,664.236963323,74.3531645071,369.721144391,0.0,122.71106,88.818015033,44.9097939612,0.0,36.25695,8.65284396122
 07/21  11:00:00,695.452213604,75.5941020974,398.664219845,0.0,122.71106,88.818015033,44.9089875283,0.0,36.25695,8.65203752826
 07/21  12:00:00,713.892979385,77.4397959964,416.071722619,0.0,122.71106,88.818015033,36.27695,0.0,36.25695,0.02
 07/21  13:00:00,717.252471463,79.4197548666,421.349879842,0.0,122.71106,84.617158233,32.8298222174,0.00595333148972,24.1713,8.65256888595
 07/21  14:00:00,710.758268359,81.4492878391,412.769410451,0.0,122.71106,84.617158233,32.8234660599,0.0,24.1713,8.65216605991
 07/21  15:00:00,694.928765817,82.5667077605,402.384740156,0.0,122.71106,78.0003075165,13.4864913296,0.0,4.83426,8.65223132964
 07/21  16:00:00,683.674084365,83.347780216,395.471986268,0.0,122.71106,73.183824,4.85426,0.0,4.83426,0.02
 07/21  17:00:00,638.510782036,80.3215908315,387.093054794,0.0,122.71106,39.942024,13.4657304672,0.0,4.83426,8.63147046717
 07/21  18:00:00,552.133833295,72.3412696899,308.710063279,0.0,122.71106,39.942024,4.89875158004,0.0444915800445,4.83426,0.02
 07/21  19:00:00,546.399193433,72.3412696899,303.15797936,0.0,122.71106,39.942024,19.1789356548,0.0,4.83426,14.3446756548
 07/21  20:00:00,478.753244698,72.3412696899,300.447242724,0.0,43.513341876,39.942024,7.84674394849,0.0109805241658,4.83426,3.00150342433
 07/21  21:00:00,104.89935091,0.0,0.0,0.0,43.513341876,39.243024,13.5005326802,0.0,4.83426,8.66627268023
 07/21  22:00:00,104.943662057,0.0,0.0,0.0,43.513341876,39.243024,13.4713362006,0.0,4.83426,8.63707620062
 07/21  23:00:00,105.84239159,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/21  24:00:00,104.964011815,0.0,0.0,0.0,43.513341876,39.243024,13.4505117382,0.0,4.83426,8.61625173816
 07/22  01:00:00,104.952540152,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  02:00:00,104.927522466,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  03:00:00,104.894481457,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  04:00:00,105.369574517,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  05:00:00,102.336158704,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  06:00:00,87.4191154167,0.0,0.0,0.0,43.513341876,39.243024,13.4445391174,0.0,4.83426,8.61027911744
 07/22  07:00:00,87.313941208,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  08:00:00,87.3527015476,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  09:00:00,87.4242414915,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  10:00:00,87.4359072966,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  11:00:00,88.2583851391,0.0,0.0,0.0,43.513341876,39.243024,13.4504750883,0.0,4.83426,8.61621508835
 07/22  12:00:00,216.787946173,1.79162352114,126.389299936,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  13:00:00,318.964586368,3.03182841185,226.545655899,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  14:00:00,161.29584385,0.854921634609,72.358815738,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  15:00:00,87.3151198165,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  16:00:00,87.0754039912,0.0,0.0,0.0,43.513341876,39.243024,13.4445542968,0.0,4.83426,8.61029429676
 07/22  17:00:00,87.0441735354,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  18:00:00,87.009318496,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  19:00:00,87.461665452,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  20:00:00,102.364746442,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  21:00:00,105.074370751,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  22:00:00,104.716234439,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/22  23:00:00,105.579600661,0.0,0.0,0.0,43.513341876,39.243024,13.4445673677,0.0,4.83426,8.61030736772
 07/22  24:00:00,104.719164547,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/23  01:00:00,104.715798148,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/23  02:00:00,104.712240982,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/23  03:00:00,104.708893471,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/23  04:00:00,105.162595636,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/23  05:00:00,102.143900875,0.0,0.0,0.0,43.513341876,39.243024,13.4445709319,0.0,4.83426,8.61031093191
 07/23  06:00:00,87.2073592245,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/23  07:00:00,87.0566667724,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/23  08:00:00,87.0670173912,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/23  09:00:00,87.1105534747,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/23  10:00:00,87.0937122638,0.0,0.0,0.0,43.513341876,39.243024,13.4505890511,0.0,4.83426,8.61632905108
 07/23  11:00:00,87.8995332334,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/23  12:00:00,87.0503636801,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/23  13:00:00,87.1624848712,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
