Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 11/02  08:00:00,237.777022147,32.4248987346,8.68867866196,22.9976230245,37.1018798503,104.434947198,137.408261017,127.482492958,9.90576805939,0.02
 11/02  09:00:00,245.703480285,32.4451258017,9.19645575607,20.5610917958,37.1018798503,116.476155989,132.051567358,122.125799298,9.90576805939,0.02
 11/02  10:00:00,242.809188322,32.4723466558,9.75753075911,18.5537015986,37.1018798503,116.476155989,135.720304027,117.184005188,9.90576805939,8.6305307795
 11/02  11:00:00,241.715271965,32.5002761307,10.000891324,16.95514673,37.1018798503,116.476155989,123.607085623,113.681317563,9.90576805939,0.02
 11/02  12:00:00,229.521765079,32.529292103,10.0088275785,15.4736159335,37.1018798503,104.434947198,129.920151358,111.385259405,9.90576805939,8.62912389353
 11/02  13:00:00,238.693602572,32.561645883,9.99886905495,14.086819056,37.1018798503,116.476155989,118.898447436,108.972679377,9.90576805939,0.02
 11/02  14:00:00,237.714406194,32.6064488348,10.2782699044,12.4681141377,37.1018798503,116.476155989,123.964229428,105.426321346,9.90576805939,8.63214002284
 11/02  15:00:00,236.116276755,32.6558160614,11.0783619732,10.9750508576,37.1018798503,116.476155989,110.241214096,100.315446037,9.90576805939,0.02
 11/02  16:00:00,235.104898643,32.6907352639,11.5059035289,9.99372193844,37.1018798503,116.476155989,115.19788573,96.6674817635,9.90576805939,8.62463590718
 11/02  17:00:00,238.762047351,32.7066730981,10.8942379256,9.90838038186,37.1018798503,116.476155989,107.315166331,97.3893982712,9.90576805939,0.02
 11/02  18:00:00,161.80191524,30.8281113474,7.56052660692,0.0395279274871,24.7345865669,47.5788473902,79.0874505999,74.1145665702,4.9528840297,0.02
 11/02  19:00:00,161.825662136,31.1404080811,7.53487835066,0.176722339443,24.7345865669,47.5788473902,82.7637033984,77.7908193687,4.9528840297,0.02
 11/02  20:00:00,138.052524235,29.8912211464,7.75972384684,0.392033665032,12.3672932834,38.6892022431,95.4465059824,92.4547755646,2.97173041782,0.02
 11/02  21:00:00,111.485452092,23.772443387,6.69723200397,0.29167049171,12.3672932834,27.0668015668,83.7213483496,80.7296179318,2.97173041782,0.02
 11/02  22:00:00,90.4579728845,21.9574095331,5.62473597685,5.96809015976,4.12243109448,15.9888894789,74.2531772001,71.2614467823,2.97173041782,0.02
 11/02  23:00:00,105.107685215,26.3927604403,6.40135709703,7.63050783932,4.12243109448,15.9888894789,95.2807361598,92.289005742,2.97173041782,0.02
 11/02  24:00:00,97.7297216426,21.9574095331,4.27527743858,11.3749002267,4.12243109448,15.9888894789,77.7270107926,74.7352803748,2.97173041782,0.02
 11/03  01:00:00,108.202756688,26.3927604403,5.81220363328,9.92472297583,4.12243109448,15.9888894789,97.5191331453,94.5274027274,2.97173041782,0.02
 11/03  02:00:00,98.7338365513,21.9574095331,4.83604734572,13.1917026091,4.12243109448,15.9888894789,78.8227230037,75.8309925859,2.97173041782,0.02
 11/03  03:00:00,109.892080489,26.3927604403,5.88739855783,11.8395086347,4.12243109448,15.9888894789,107.85420434,96.2806381482,2.97173041782,8.60183577406
 11/03  04:00:00,138.252632872,31.7650015484,6.58496630005,12.1641971082,12.3672932834,24.9413748627,110.836392683,105.863508654,4.9528840297,0.02
 11/03  05:00:00,161.629759372,31.3137046537,9.71648036577,35.187657286,12.3672932834,24.9413748627,174.9788681,170.00598407,4.9528840297,0.02
 11/03  06:00:00,222.219927858,32.3067847334,8.74962401891,35.7684274979,24.7345865669,70.7195625826,162.071403266,152.145635206,9.90576805939,0.02
 11/03  07:00:00,239.602456235,32.4026070534,7.36247492341,26.2198161695,37.1018798503,92.3937384068,147.973526652,138.047758592,9.90576805939,0.02
 11/03  08:00:00,240.306465838,32.427162733,7.46864778563,23.3548858059,37.1018798503,104.434947198,141.84214875,131.916380691,9.90576805939,0.02
 11/03  09:00:00,249.922280992,32.4453127892,8.45596045165,21.3810665923,37.1018798503,116.476155989,135.17269373,125.246925671,9.90576805939,0.02
 11/03  10:00:00,246.118907649,32.4677563311,10.4074484417,19.3796768037,37.1018798503,116.476155989,135.082180542,116.544066131,9.90576805939,8.63234635175
 11/03  11:00:00,244.529659098,32.4961065907,12.4262404275,17.2450265027,37.1018798503,116.476155989,116.635410618,106.709642559,9.90576805939,0.02
 11/03  12:00:00,236.95239415,32.5329690141,13.6517539461,15.1353266216,37.1018798503,104.434947198,117.44767393,98.9123382703,9.90576805939,8.62956759987
 11/03  13:00:00,251.294490881,32.5936148011,14.6341094452,12.4492350947,37.1018798503,116.476155989,102.270490793,92.3447227334,9.90576805939,0.02
 11/03  14:00:00,252.032199361,32.64577014,15.3494661679,10.5108032565,37.1018798503,116.476155989,108.257446558,89.7194414744,9.90576805939,8.63223702436
 11/03  15:00:00,253.458957083,32.6979053935,15.8236851696,8.88322857787,37.1018798503,116.476155989,97.5445927376,87.6188246782,9.90576805939,0.02
 11/03  16:00:00,252.407193974,32.7420560967,15.4469132099,7.73631120922,37.1018798503,116.476155989,104.238770053,85.7066754772,9.90576805939,8.62632651672
 11/03  17:00:00,250.693518399,32.7484978393,12.7479115835,7.95331447,37.1018798503,116.476155989,97.9859792074,88.060211148,9.90576805939,0.02
